(98149, 50096, 'UD1')
(98149, 51320, 'RL1')
(98283, 51320, 'UD1')
(98283, 52552, 'RL1')
(98418, 52552, 'UD1')
(98418, 53717, 'RL-1')
(97561, 53717, 'UD1')
(97561, 54916, 'RL-1')
(97402, 54916, 'UD1')
(97402, 56191, 'RL1')
(97852, 56191, 'UD1')
(97852, 57374, 'RL-1')
(97504, 57374, 'UD1')
(97504, 58479, 'RL-1')
(96769, 58479, 'UD1')
(96769, 59792, 'RL1')
(97171, 59792, 'UD1')
(97171, 60938, 'RL-1')
(96714, 60938, 'UD1')
(96714, 62177, 'RL-1')
(96649, 62177, 'UD1')
(96649, 63356, 'RL-1')
(96328, 63356, 'UD1')
(96328, 64508, 'RL-1')
(95920, 64508, 'UD1')
(95920, 65463, 'RL-1')
(94945, 65463, 'UD1')
(94945, 66631, 'RL-1')
(94632, 66631, 'UD1')
(94632, 67713, 'RL-1')
(94088, 67713, 'UD1')
(94088, 69039, 'RL1')
(94123, 69039, 'UD1')
(94123, 70099, 'RL-1')
(93515, 70099, 'UD1')
(93515, 71061, 'RL-1')
(92720, 71061, 'UD1')
(92720, 72524, 'RL1')
(92910, 72524, 'UD1')
(92910, 73136, 'RL-1')
(91489, 73136, 'UD1')
(91489, 74419, 'RL-1')
(91293, 74419, 'UD1')
(91293, 75648, 'RL-1')
(90966, 75648, 'UD1')
(90966, 76623, 'RL-1')
(90221, 76623, 'UD1')
(90221, 77323, 'RL-1')
(89089, 77323, 'UD1')
(89089, 78420, 'RL-1')
(88541, 78420, 'UD1')
(88541, 79539, 'RL-1')
(88005, 79539, 'UD1')
(88005, 80155, 'RL-1')
(86832, 80155, 'UD1')
(86832, 81503, 'RL-1')
(86549, 81503, 'UD1')
(86549, 82398, 'RL-1')
(85716, 82398, 'UD1')
(85716, 82997, 'RL-1')
(84574, 82997, 'UD1')
(84574, 84354, 'RL-1')
(84217, 84354, 'UD1')
(84217, 84671, 'RL-1')
(82826, 84671, 'UD1')
(82826, 85481, 'RL-1')
(81928, 85481, 'UD1')
(81928, 86391, 'RL-1')
(81114, 86391, 'UD1')
(81114, 87480, 'RL-1')
(80436, 87480, 'UD1')
(80436, 88103, 'RL-1')
(79372, 88103, 'UD1')
(79372, 89046, 'RL-1')
(78552, 89046, 'UD1')
(78552, 89441, 'RL-1')
(77335, 89441, 'UD1')
(77335, 89838, 'RL-1')
(76141, 89838, 'UD1')
(76141, 90654, 'RL-1')
(75227, 90654, 'UD1')
(75227, 91365, 'RL-1')
(74239, 91365, 'UD1')
(74239, 92081, 'RL-1')
(73247, 92081, 'UD1')
(73247, 92782, 'RL-1')
(72239, 92782, 'UD1')
(72239, 93026, 'RL-1')
(70998, 93026, 'UD1')
(70998, 93413, 'RL-1')
(69842, 93413, 'UD1')
(69842, 94169, 'RL-1')
(68850, 94169, 'UD1')
(68850, 94753, 'RL-1')
(67772, 94753, 'UD1')
(67772, 94968, 'RL-1')
(66552, 94968, 'UD1')
(66552, 95166, 'RL-1')
(65337, 95166, 'UD1')
(65337, 96281, 'RL-1')
(64419, 96281, 'UD-1')
(64419, 96109, 'RL-1')
(63094, 96109, 'UD1')
(63094, 96659, 'RL-1')
(61981, 96659, 'UD-1')
(61981, 96466, 'RL-1')
(60685, 96466, 'UD1')
(60685, 96669, 'RL-1')
(59493, 96669, 'UD1')
(59493, 97420, 'RL-1')
(58401, 97420, 'UD-1')
(58401, 97047, 'RL-1')
(57111, 97047, 'UD1')
(57111, 98113, 'RL-1')
(56029, 98113, 'UD-1')
(56029, 97715, 'RL-1')
(54755, 97715, 'UD1')
(54755, 97760, 'RL-1')
(53541, 97760, 'UD-1')
(53541, 97640, 'RL-1')
(52320, 97640, 'UD1')
(52320, 98082, 'RL-1')
(51122, 98082, 'UD1')
(51122, 98415, 'RL-1')
(49903, 98415, 'UD-1')
(49903, 97492, 'RL-1')
(48701, 97492, 'UD1')
(48701, 98259, 'RL-1')
(47455, 98259, 'UD-1')
(47455, 97501, 'RL-1')
(46287, 97501, 'UD1')
(46287, 97603, 'RL-1')
(45063, 97603, 'UD1')
(45063, 97948, 'RL-1')
(43795, 97948, 'UD-1')
(43795, 97422, 'RL-1')
(42638, 97422, 'UD-1')
(42638, 96938, 'RL-1')
(41490, 96938, 'UD-1')
(41490, 96859, 'RL-1')
(40272, 96859, 'UD-1')
(40272, 96275, 'RL-1')
(39163, 96275, 'UD1')
(39163, 96615, 'RL-1')
(37830, 96615, 'UD-1')
(37830, 95679, 'RL-1')
(36830, 95679, 'UD1')
(36830, 95815, 'RL-1')
(35524, 95815, 'UD-1')
(35524, 95641, 'RL-1')
(34297, 95641, 'UD-1')
(34297, 94734, 'RL-1')
(33330, 94734, 'UD-1')
(33330, 94188, 'RL-1')
(32246, 94188, 'UD-1')
(32246, 93771, 'RL-1')
(31112, 93771, 'UD-1')
(31112, 93562, 'RL-1')
(29878, 93562, 'UD-1')
(29878, 92941, 'RL-1')
(28829, 92941, 'UD-1')
(28829, 92633, 'RL-1')
(27621, 92633, 'UD-1')
(27621, 92127, 'RL-1')
(26507, 92127, 'UD-1')
(26507, 90926, 'RL-1')
(25797, 90926, 'UD1')
(25797, 91063, 'RL-1')
(24291, 91063, 'UD-1')
(24291, 89724, 'RL-1')
(23705, 89724, 'UD-1')
(23705, 89668, 'RL-1')
(22272, 89668, 'UD-1')
(22272, 88546, 'RL-1')
(21576, 88546, 'UD-1')
(21576, 88024, 'RL-1')
(20445, 88024, 'UD-1')
(20445, 87398, 'RL-1')
(19380, 87398, 'UD-1')
(19380, 86115, 'RL-1')
(18869, 86115, 'UD-1')
(18869, 85268, 'RL-1')
(18007, 85268, 'UD-1')
(18007, 84643, 'RL-1')
(16936, 84643, 'UD-1')
(16936, 83906, 'RL-1')
(15957, 83906, 'UD-1')
(15957, 82842, 'RL-1')
(15310, 82842, 'UD-1')
(15310, 82330, 'RL-1')
(14071, 82330, 'UD-1')
(14071, 80937, 'RL-1')
(13816, 80937, 'UD-1')
(13816, 80518, 'RL-1')
(12418, 80518, 'UD-1')
(12418, 79314, 'RL-1')
(11971, 79314, 'UD-1')
(11971, 78448, 'RL-1')
(11096, 78448, 'UD-1')
(11096, 77441, 'RL-1')
(10404, 77441, 'UD-1')
(10404, 76510, 'RL-1')
(9599, 76510, 'UD-1')
(9599, 75048, 'RL1')
(9633, 75048, 'UD-1')
(9633, 74084, 'RL-1')
(8898, 74084, 'UD-1')
(8898, 73037, 'RL-1')
(8297, 73037, 'UD-1')
(8297, 71955, 'RL-1')
(7763, 71955, 'UD-1')
(7763, 71218, 'RL-1')
(6522, 71218, 'UD-1')
(6522, 69800, 'RL1')
(6678, 69800, 'UD-1')
(6678, 68987, 'RL-1')
(5508, 68987, 'UD-1')
(5508, 67570, 'RL1')
(5755, 67570, 'UD-1')
(5755, 66636, 'RL-1')
(4802, 66636, 'UD-1')
(4802, 65333, 'RL1')
(4844, 65333, 'UD-1')
(4844, 64195, 'RL-1')
(4435, 64195, 'UD-1')
(4435, 63235, 'RL-1')
(3393, 63235, 'UD-1')
(3393, 61931, 'RL1')
(3537, 61931, 'UD-1')
(3537, 60707, 'RL-1')
(3437, 60707, 'UD-1')
(3437, 59485, 'RL-1')
(3372, 59485, 'UD-1')
(3372, 58325, 'RL-1')
(3010, 58325, 'UD-1')
(3010, 57128, 'RL-1')
(2838, 57128, 'UD-1')
(2838, 55962, 'RL-1')
(2421, 55962, 'UD-1')
